clique	versions
39475	[343223, 361210, 114472, 134744, 271362, 307473, 216454, 247079, 215467, 59234, 101132]
20077	[343224, 350590, 170706, 266043, 314556, 307649, 332134, 214643, 215740]
22290	[343225, 343986, 344624, 345116, 345312, 337963, 338394, 338793, 339061, 341086, 357855, 358188, 359184, 63053, 64121, 105810, 106292, 107397, 108181, 108225, 108503, 116023, 117686, 119253, 119759, 139388, 140183, 125909, 128448, 129238, 132514, 136122, 137044, 137441, 141630, 147445, 173008, 173322, 173351, 173867, 174237, 175489, 180270, 184847, 184912, 185924, 187250, 187776, 152100, 156627, 159606, 160647, 263320, 265144, 266490, 266537, 267608, 269296, 269805, 273851, 273897, 275283, 275834, 282908, 283420, 283859, 285934, 286332, 298874, 300283, 300699, 294383, 296452, 289582, 290282, 313932, 314574, 302015, 303188, 304543, 305327, 318184, 318239, 318269, 324491, 324517, 324521, 310726, 310850, 311734, 78517, 55578, 82372, 82848, 217517, 217637, 238800, 240132, 241693, 242483, 218990, 219529, 222546, 226518, 227762, 232951, 236005, 190939, 244591, 248297, 195246, 195692, 248716, 249706, 198295, 198706, 202679, 207814, 211743, 214715, 215463, 65414, 79306, 57618, 60650, 61053, 96439, 96743, 72494]
17098	[343226, 220430]
26349	[343227, 286579]
41075	[343228, 182973]
14955	[343229, 170994, 181646, 308714, 208739, 100454]
30463	[343230, 345928, 347507, 349764, 337373, 337925, 337938, 339768, 340164, 340259, 341755, 342783, 362526, 362708, 362782, 362947, 366622, 366663, 368255, 352720, 353149, 353223, 353463, 355656, 356508, 359204, 360746, 361517, 79729, 80375, 62166, 62397, 62981, 110028, 110115, 110624, 110675, 110736, 111144, 113238, 113264, 117284, 117638, 120265, 120639, 120711, 122454, 123926, 140083, 129389, 129570, 130209, 132331, 135146, 136273, 136633, 136676, 140438, 141986, 142794, 142992, 143124, 144155, 144892, 145255, 148896, 170508, 170623, 170900, 172333, 172627, 175041, 178102, 182667, 185154, 187278, 187953, 151993, 153232, 154292, 154784, 155411, 155931, 156283, 156338, 158990, 159058, 159597, 159742, 160709, 162625, 163537, 166011, 166510, 257532, 257581, 257711, 258076, 277667, 261610, 262018, 263825, 265033, 280117, 281083, 283274, 285451, 285647, 299030, 299448, 301402, 301686, 291350, 291527, 294304, 298702, 289425, 313914, 314962, 316026, 316570, 317130, 317376, 303597, 305809, 306020, 306563, 320462, 322171, 322847, 324503, 325566, 326226, 326419, 328876, 330305, 330400, 330489, 330544, 331026, 310031, 310245, 310598, 311341, 313120, 333450, 335337, 77177, 78228, 56868, 57164, 82413, 82494, 83364, 84912, 87549, 87640, 217308, 217610, 217834, 190221, 242333, 219758, 221486, 229621, 233327, 233648, 236210, 236552, 246146, 247534, 192612, 195766, 196017, 249627, 196736, 197126, 197575, 199622, 202343, 202601, 202680, 203432, 204326, 207057, 207093, 207805, 209202, 210084, 211732, 211807, 213993, 214086, 214968, 253236, 255507, 255742, 255920, 256729, 89850, 89949, 91639, 65343, 65689, 66435, 69528, 57288, 57964, 59683, 60772, 60853, 61244, 92759, 92805, 93049, 96317, 96654, 97875, 102718, 71108, 71956]
40098	[343231, 286666]
21469	[343232, 351226, 339809, 341496, 358124, 359458, 108858, 111234, 111603, 120012, 121808, 139023, 139879, 140201, 129323, 133262, 134060, 134603, 172577, 174615, 178911, 182063, 182804, 182955, 183831, 159427, 165315, 166251, 166363, 257637, 258102, 278211, 267460, 282537, 287262, 288243, 293110, 294650, 318288, 324199, 324470, 326861, 309406, 331761, 334022, 217970, 189096, 240679, 229229, 231899, 232283, 191086, 243084, 195847, 196601, 197094, 204680, 208408, 251616, 252592, 256580, 94152]
31160	[343233, 257361]
11848	[343234, 344265, 347924, 366604, 359681, 62362, 133149, 143051, 178860, 186455, 152137, 260843, 296764, 289905, 289975, 317314, 324815, 83252, 236636, 201928, 204423, 255411, 90036]
594	[343235, 336296, 343202, 356960, 360184, 112289, 118309, 121249, 121376, 134240, 136169, 151517, 171906, 173398, 175839, 176018, 184243, 187234, 155704, 161763, 164440, 165708, 166821, 260688, 276239, 262511, 273746, 296867, 297114, 290386, 314882, 302532, 312300, 335953, 82830, 83925, 84930, 239922, 219820, 221681, 224069, 224116, 224403, 246371, 193120, 248855, 250331, 202357, 208009, 208167, 210861, 213421, 254107, 255962, 88457, 90014, 65656, 61072, 92471, 92907, 96688, 102981, 73819]
22497	[343236, 343389, 346368, 346730, 347977, 347979, 348351, 348417, 349271, 349876, 350411, 351258, 352173, 341251, 363593, 363624, 352386, 357077, 358087, 358939, 361285, 362035, 79441, 80771, 81960, 62564, 62571, 64521, 105693, 106177, 111227, 118988, 120814, 121478, 122857, 125523, 126810, 128223, 128417, 129138, 132174, 133708, 136177, 136357, 140376, 145558, 146010, 148495, 148639, 148985, 150417, 151438, 151666, 169814, 169956, 171654, 173870, 177069, 177996, 182110, 182853, 183222, 183677, 187920, 188361, 152296, 152844, 153278, 155071, 155948, 157247, 157707, 157805, 159472, 162207, 163381, 163625, 258589, 276933, 277762, 278028, 279530, 262803, 264479, 266307, 266437, 269331, 269719, 281619, 283740, 283956, 286706, 301751, 293215, 293828, 295299, 296721, 314009, 314411, 315259, 302483, 303155, 303562, 303961, 304871, 304892, 319266, 320188, 321716, 324274, 324695, 324703, 325513, 327641, 327667, 329315, 329435, 312930, 334220, 335803, 77991, 55206, 85852, 86908, 87027, 87140, 88312, 189037, 190051, 236779, 239422, 239527, 219475, 223158, 224087, 225875, 228031, 228706, 233433, 234413, 244939, 245622, 195468, 248697, 196708, 197340, 199062, 202295, 204245, 204472, 204584, 206131, 207224, 210267, 211088, 211131, 212130, 250862, 214066, 253018, 89024, 90823, 65070, 66082, 67245, 67993, 57582, 59518, 60334, 92497, 94126, 96069, 96286, 96603, 97379, 100995, 102505, 71532, 71836, 74360, 76530]
